1332  Compositions 

alloy     Yield Strength, GPa
===============================
Ag40Li20Mg20La20 0.715532477420919
La40Li20Mg20Ag20 0.752251923455393
Mg40Li20La20Ag20 0.718877348428009
Li40Mg20La20Ag20 0.73459716656604
Ca40Li20Be20Cu20 0.679301690501275
Cu40Li20Be20Ca20 0.708028002222021
Be40Li20Cu20Ca20 0.678656833695191
Li40Be20Cu20Ca20 0.694916719738725
Mo40Li20Cr20Zr20 1.32570369683106
Zr40Li20Cr20Mo20 1.40175913449363
Cr40Li20Zr20Mo20 1.34369292360975
Li40Cr20Zr20Mo20 1.36669746834104
Cr40Li20Al20B20 0.790245409388165
B40Li20Al20Cr20 0.827625040237116
Al40Li20B20Cr20 0.788433900063629
Li40Al20B20Cr20 0.807168111252722
Pd40Li20W20Mg20 0.740481203345322
Mg40Li20W20Pd20 0.779384015473664
W40Li20Mg20Pd20 0.738127146881532
Li40W20Mg20Pd20 0.747531760290688
Sc40Be20Ca20B20 2.39744414655947
B40Be20Ca20Sc20 2.6523093260512
Ca40Be20B20Sc20 2.47526397006813
Be40Ca20B20Sc20 2.6021753513666
Ag40Be20Cu20Ti20 1.40008882864439
Ti40Be20Cu20Ag20 1.4885190317386
Cu40Be20Ti20Ag20 1.42427061176268
Be40Cu20Ti20Ag20 1.46422024405142
Mg40Be20Cu20Gd20 1.28022409109089
Gd40Be20Cu20Mg20 1.3505662374444
Cu40Be20Gd20Mg20 1.2846798096047
Be40Cu20Gd20Mg20 1.32332888166762
Nb40Be20Mg20Au20 1.8273066758142
Au40Be20Mg20Nb20 1.95383758875969
Mg40Be20Au20Nb20 1.8468963118555
Be40Mg20Au20Nb20 1.88418669897226
Ta40Be20Au20Gd20 1.47888566351917
Gd40Be20Au20Ta20 1.56232092471045
Au40Be20Gd20Ta20 1.47813327160898
Be40Au20Gd20Ta20 1.51916496240037
Mg40B20Cr20Fe20 3.11542211127062
Fe40B20Cr20Mg20 3.38997113557342
Cr40B20Fe20Mg20 3.20147070304456
B40Cr20Fe20Mg20 3.34717951809694
Ti40B20Ag20Ta20 4.35060367599585
Ta40B20Ag20Ti20 4.54388363652966
Ag40B20Ta20Ti20 4.39135023679
B40Ag20Ta20Ti20 4.51325198235052
Cu40B20Hf20Gd20 4.8259499583083
Gd40B20Hf20Cu20 4.96968768934025
Hf40B20Gd20Cu20 4.8636361505509
B40Hf20Gd20Cu20 4.95406484958416
Si40B20Zr20Sc20 4.9221919646107
Sc40B20Zr20Si20 5.07577899270405
Zr40B20Sc20Si20 4.98015515336812
B40Zr20Sc20Si20 5.06046880389846
Zr40B20Cu20Sc20 4.33536721934665
Sc40B20Cu20Zr20 4.55664062796551
Cu40B20Sc20Zr20 4.40661564680363
B40Cu20Sc20Zr20 4.53264443467943
Sc40Mg20Zn20P20 0.537457106751543
P40Mg20Zn20Sc20 0.558501947157076
Zn40Mg20P20Sc20 0.537648253097366
Mg40Zn20P20Sc20 0.550062743198771
P40Mg20Zn20Ta20 1.32940329594595
Ta40Mg20Zn20P20 1.40962554311881
Zn40Mg20Ta20P20 1.33673700215493
Mg40Zn20Ta20P20 1.38154565665784
Zr40Mg20Co20Sc20 0.869834150907735
Sc40Mg20Co20Zr20 0.910460878443358
Co40Mg20Sc20Zr20 0.872293489739498
Mg40Co20Sc20Zr20 0.897780653597291
Zn40Mg20Si20Be20 0.91207836688963
Be40Mg20Si20Zn20 0.952173009738203
Si40Mg20Be20Zn20 0.916877020592824
Mg40Si20Be20Zn20 0.939211268960686
W40Mg20Ca20Hf20 1.15326372067929
Hf40Mg20Ca20W20 1.2129554172471
Ca40Mg20Hf20W20 1.16271865763323
Mg40Ca20Hf20W20 1.18704209437557
Sn40Al20B20P20 0.997876206140804
P40Al20B20Sn20 1.05200875318353
B40Al20P20Sn20 1.0117585396691
Al40B20P20Sn20 1.03513490974985
Sn40Al20Ca20Au20 1.19485880269898
Au40Al20Ca20Sn20 1.26581859782964
Ca40Al20Au20Sn20 1.20501053069563
Al40Ca20Au20Sn20 1.23115142568926
Ag40Al20W20Be20 1.24905377336121
Be40Al20W20Ag20 1.32197863656911
W40Al20Be20Ag20 1.25427216679937
Al40W20Be20Ag20 1.28678116543422
Ni40Al20Mg20B20 1.15177092776432
B40Al20Mg20Ni20 1.21821695925789
Mg40Al20B20Ni20 1.16942227803711
Al40Mg20B20Ni20 1.20068508314302
Sn40Al20Zn20P20 1.05934953153743
P40Al20Zn20Sn20 1.12188021034642
Zn40Al20P20Sn20 1.06629725204037
Al40Zn20P20Sn20 1.09711757752608
Ca40Si20Ag20Zn20 1.07460409955141
Zn40Si20Ag20Ca20 1.1308462539753
Ag40Si20Zn20Ca20 1.08312343717085
