11655  Compositions 

alloy     Yield Strength, GPa
===============================
Al50Li20Cu10Ca10P10 0.82009923426414
Al40Li20P20Cu10Ca10 0.769071867092008
P30Al30Li20Cu10Ca10 0.723054293381672
P40Li20Al20Cu10Ca10 0.681487947692601
Al40Li20Ca20Cu10P10 0.788818258289175
Al30Li20Ca20P20Cu10 0.740954070990752
P30Li20Ca20Al20Cu10 0.697785407728189
Ca30Al30Li20Cu10P10 0.759282118578712
Ca30Li20P20Al20Cu10 0.714451219786412
Ca40Li20Al20Cu10P10 0.731486725384146
Al40Li20Cu20Ca10P10 0.770093955121808
Al30Li20Cu20P20Ca10 0.724008413617985
P30Li20Cu20Al20Ca10 0.682418171475626
Al30Li20Cu20Ca20P10 0.741715585420767
Li20Cu20Ca20P20Al20 0.698529121499908
Ca30Li20Cu20Al20P10 0.714996026615113
Cu30Al30Li20Ca10P10 0.724701588114632
Cu30Li20P20Al20Ca10 0.683124713228968
Cu30Li20Ca20Al20P10 0.699034647537616
Cu40Li20Al20Ca10P10 0.683610164363027
Al40Li30Cu10Ca10P10 0.779493256532784
Li30Al30P20Cu10Ca10 0.732232793876446
Li30P30Al20Cu10Ca10 0.689611803898861
Li30Al30Ca20Cu10P10 0.750529213311469
Li30Ca20P20Al20Cu10 0.706229974025332
Li30Ca30Al20Cu10P10 0.723238697651622
Li30Al30Cu20Ca10P10 0.733192954862935
Li30Cu20P20Al20Ca10 0.690529316125298
Li30Cu20Ca20Al20P10 0.706978086206027
Li30Cu30Al20Ca10P10 0.691224107571113
Li40Al30Cu10Ca10P10 0.741940375908708
Li40P20Al20Cu10Ca10 0.698203360859277
Li40Ca20Al20Cu10P10 0.715208203704097
Li40Cu20Al20Ca10P10 0.699116535621148
Li50Al20Cu10Ca10P10 0.707264871980416
Si50Li20Nb10Cr10Mg10 0.879611307695765
Si40Li20Mg20Nb10Cr10 0.833754303816128
Mg30Si30Li20Nb10Cr10 0.791408647552117
Mg40Li20Si20Nb10Cr10 0.752248707778864
Si40Li20Cr20Nb10Mg10 0.854834491645828
Si30Li20Cr20Mg20Nb10 0.811006018522594
Mg30Li20Cr20Si20Nb10 0.770516151044847
Cr30Si30Li20Nb10Mg10 0.830987623219909
Cr30Li20Mg20Si20Nb10 0.789139234625266
Cr40Li20Si20Nb10Mg10 0.808093377751988
Si40Li20Nb20Cr10Mg10 0.832852211314851
Si30Li20Nb20Mg20Cr10 0.790633998189804
Mg30Li20Nb20Si20Cr10 0.751614492915285
Si30Li20Nb20Cr20Mg10 0.810018257916396
Li20Nb20Cr20Mg20Si20 0.769683701555731
Cr30Li20Nb20Si20Mg10 0.788090323021635
Nb30Si30Li20Cr10Mg10 0.789480998862568
Nb30Li20Mg20Si20Cr10 0.750640347714853
Nb30Li20Cr20Si20Mg10 0.768489508282386
Nb40Li20Si20Cr10Mg10 0.749338184111839
Si40Li30Nb10Cr10Mg10 0.841057071277676
Li30Si30Mg20Nb10Cr10 0.797934938640666
Li30Mg30Si20Nb10Cr10 0.758093846455351
Li30Si30Cr20Nb10Mg10 0.817636818530664
Li30Cr20Mg20Si20Nb10 0.776442496059856
Li30Cr30Si20Nb10Mg10 0.795149382766957
Li30Si30Nb20Cr10Mg10 0.797148966313058
Li30Nb20Mg20Si20Cr10 0.757438346902817
Li30Nb20Cr20Si20Mg10 0.775593963821872
Li30Nb30Si20Cr10Mg10 0.756453793607235
Li40Si30Nb10Cr10Mg10 0.80498892072403
Li40Mg20Si20Nb10Cr10 0.764418025446264
Li40Cr20Si20Nb10Mg10 0.782866604568581
Li40Nb20Si20Cr10Mg10 0.763770968044082
Li50Si20Nb10Cr10Mg10 0.771284940017164
Nb50Li20Sc10Be10Ni10 1.28696930727945
Nb40Li20Ni20Sc10Be10 1.19803696604444
Ni30Nb30Li20Sc10Be10 1.11849866334337
Ni40Li20Nb20Sc10Be10 1.04692755296634
Nb40Li20Be20Sc10Ni10 1.23200761947027
Nb30Li20Be20Ni20Sc10 1.14860596025703
Ni30Li20Be20Nb20Sc10 1.07383867962026
Be30Nb30Li20Sc10Ni10 1.17962189433243
Be30Li20Ni20Nb20Sc10 1.101440917475
Be40Li20Nb20Sc10Ni10 1.12979437531536
Nb40Li20Sc20Be10Ni10 1.20553213854944
Nb30Li20Sc20Ni20Be10 1.1250255218114
Ni30Li20Sc20Nb20Be10 1.05268704774217
Nb30Li20Sc20Be20Ni10 1.15514592500096
Li20Sc20Be20Ni20Nb20 1.07955591648424
Be30Li20Sc20Nb20Ni10 1.10712480796367
Sc30Nb30Li20Be10Ni10 1.13099546003733
Sc30Li20Ni20Nb20Be10 1.05795205340961
Sc30Li20Be20Nb20Ni10 1.0847530475556
